Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,unknown,1,,type,1,,
Data,0,file_id,serial_number,"3953386591",,time_created,"975439800",,manufacturer,"1",,garmin_product,"2622",,number,"196",,type,"32",,,,,
Definition,1,device_info,timestamp,1,,serial_number,1,,manufacturer,1,,product,1,,software_version,1,,,,,,,,
Data,1,device_info,timestamp,"975439800",s,serial_number,"3953386591",,manufacturer,"1",,garmin_product,"2622",,software_version,"5.1",,,,,,,,
Definition,2,software,version,1,,,,,,,,,,,,,,,,,,,,
Data,2,software,version,"4.8",,,,,,,,,,,,,,,,,,,,
Definition,3,monitoring_info,timestamp,1,,local_timestamp,1,,cycles_to_distance,2,,cycles_to_calories,2,,unknown,2,,resting_metabolic_rate,1,,activity_type,2,,unknown,1,,
Data,3,monitoring_info,timestamp,"975439800",s,local_timestamp,"975411000",s,cycles_to_distance,"1.504|2.256",m/cycle,cycles_to_calories,"0.0458|0.1448",kcal/cycle,unknown,"1820|1820",,resting_metabolic_rate,"1858",kcal / day,activity_type,"6|1",,unknown,"1",,
Definition,4,monitoring,timestamp,1,,distance,1,,cycles,1,,active_time,1,,active_calories,1,,duration_min,1,,activity_type,1,,,,,
Data,4,monitoring,timestamp,"975439800",s,distance,"0.0",m,cycles,"0.0",cycles,active_time,"363.0",s,active_calories,"8",kcal,duration_min,"690",min,activity_type,"0",,,,,
Data,4,monitoring,timestamp,"975439800",s,distance,"553.47",m,steps,"736",steps,active_time,"460.0",s,active_calories,"17",kcal,duration_min,"690",min,activity_type,"6",,,,,
Definition,5,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp,"975439800",s,unknown,"0",,unknown,"3523",,,,,,,,,,,,,,,,,
Definition,6,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
