@RELATION signals

@ATTRIBUTE heart_rate NUMERIC
@ATTRIBUTE stress_level_value NUMERIC
@ATTRIBUTE eda NUMERIC
@ATTRIBUTE temp NUMERIC
@ATTRIBUTE Theta NUMERIC
@ATTRIBUTE Alpha NUMERIC
@ATTRIBUTE BetaL NUMERIC
@ATTRIBUTE BetaH NUMERIC
@ATTRIBUTE Gamma NUMERIC
@ATTRIBUTE Q15 {dislike,neutral,like}

@DATA
78,17,0.0288851487603305,29.2742833333333,2.59823707857142,0.93701894360119,0.542022618898809,0.30441823824404696,0.181087151636904,dislike
77,19,0.0290781239669421,29.2625333333333,2.41397865117315,1.05998309890109,0.568273394416394,0.319806961241461,0.21542770968220895,dislike
75,15,0.0286675541666666,29.2018813559321,2.54401534407484,1.08357527413127,0.646491031779031,0.399474918621918,0.275543734184734,dislike
74,16,0.0299101369294605,29.113163934426197,1.8049598097713,0.9543852889812892,0.558605515444015,0.3869583936738929,0.242799568161568,dislike
74,13,0.0304627083333333,29.078816666666604,1.88576143630952,0.874816927083333,0.653149630803571,0.4894709477678571,0.451994574107142,dislike
74,11,0.0305274333333333,29.0338,1.89580030907738,0.863994144196428,0.5843881053571421,0.481380574107142,0.381659508630952,dislike
73,5,0.0301682166666666,28.8740999999999,2.7282328720238103,0.8626107104166658,0.540086120982142,0.315145557589285,0.197129656398809,dislike
75,1,0.0301047291666666,28.7913,1.59513553258928,0.8046887376488091,0.5757842508928571,0.337473367113095,0.240267758928571,dislike
75,1,0.0015098429752066099,26.804916666666603,3.1020721547619,1.2153281751700602,0.742912301020408,0.425658139455782,0.24552046485260695,dislike
75,1,0.0013051410788381698,26.261866666666602,3.47137046770833,1.50145889255952,0.675644906547619,0.431322832440476,0.305170930059523,dislike
75,1,0.000674372384937239,25.606916666666603,2.7978080839025803,0.960731573210573,0.617958676715176,0.389696674487674,0.28141702376002303,dislike
73,8,-5.70583333333332e-05,23.3620499999999,2.73742022972973,0.891004813483813,0.44653709177309103,0.270296541134541,0.168795966884466,dislike
79,21,0.00123049999999999,21.9619666666666,3.03444307366071,1.11146619672619,0.648965792410714,0.32970099464285696,0.215924455059523,dislike
69,3,0.0012042833333333301,21.623,3.28628413883928,1.1453650959821398,0.6375516438988089,0.35862919970238105,0.263249781398809,dislike
68,8,0.0010072208333333304,21.5532,2.01724463720238,0.933681268303572,0.606251496577381,0.332620886011904,0.21021947708333305,dislike
60,13,0.0724120541666666,29.0821833333333,1.5085667955357098,0.745036833482143,0.492409111458333,0.3710335601190471,0.244499823363095,dislike
55,8,0.0730761708333333,29.883816666666604,9.88652977693452,3.3609117266369,1.65388794970238,0.718407859672619,0.28976238125,dislike
56,16,0.0734211333333333,30.0090666666666,1.25843928273809,0.6528300037202379,0.42867837514880897,0.267940288988095,0.153850016220238,dislike
54,0,0.0758893166666666,30.2911,2.34007671071428,0.8771551026785709,0.528145741220237,0.3430239041666661,0.23441216220238,dislike
55,13,0.075513675,30.5654999999999,1.26851146629046,0.684136781556281,0.477530751707751,0.253030303534303,0.129733145530145,dislike
