Lap 50	00:00:07.24	00:33:41.88
Lap 49	00:00:38.51	00:33:34.63
Lap 48	00:00:32.22	00:32:56.11
Lap 47	00:00:40.36	00:32:23.89
Lap 46	00:00:44.14	00:31:43.53
Lap 45	00:00:34.22	00:30:59.39
Lap 44	00:00:30.32	00:30:25.16
Lap 43	00:00:41.33	00:29:54.84
Lap 42	00:00:47.57	00:29:13.51
Lap 41	00:00:35.87	00:28:25.93
Lap 40	00:00:35.23	00:27:50.05
Lap 39	00:00:30.72	00:27:14.82
Lap 38	00:00:35.23	00:26:44.09
Lap 37	00:00:37.64	00:26:08.86
Lap 36	00:00:24.81	00:25:31.22
Lap 35	00:00:32.19	00:25:06.41
Lap 34	00:00:31.56	00:24:34.21
Lap 33	00:01:15.56	00:24:02.64
Lap 32	00:01:09.78	00:22:47.08
Lap 31	00:00:36.35	00:21:37.30
Lap 30	00:00:33.09	00:21:00.94
Lap 29	00:00:30.03	00:20:27.85
Lap 28	00:00:26.64	00:19:57.82
Lap 27	00:00:37.71	00:19:31.17
Lap 26	00:00:27.11	00:18:53.45
Lap 25	00:00:23.74	00:18:26.33
Lap 24	00:00:41.08	00:18:02.59
Lap 23	00:00:34.77	00:17:21.50
Lap 22	00:00:30.56	00:16:46.72
Lap 21	00:00:27.07	00:16:16.16
Lap 20	00:00:35.64	00:15:49.08
Lap 19	00:00:33.64	00:15:13.44
Lap 18	00:00:31.33	00:14:39.79
Lap 17	00:00:34.37	00:14:08.46
Lap 16	00:00:26.51	00:13:34.08
Lap 15	00:00:31.92	00:13:07.57
Lap 14	00:00:34.85	00:12:35.64
Lap 13	00:00:31.35	00:12:00.79
Lap 12	00:01:42.36	00:11:29.43
Lap 11	00:00:32.56	00:09:47.06
Lap 10	00:00:49.08	00:09:14.50
Lap 9	00:00:46.78	00:08:25.42
Lap 8	00:00:44.07	00:07:38.63
Lap 7	00:00:35.82	00:06:54.56
Lap 6	00:00:45.82	00:06:18.73
Lap 5	00:00:51.13	00:05:32.91
Lap 4	00:00:52.04	00:04:41.78
Lap 3	00:01:01.33	00:03:49.74
Lap 2	00:01:02.41	00:02:48.40
Lap 1	00:01:45.99	00:01:45.99
