stress_level_time,stress_level_value
2020-11-30 11:15:00,30.0
2020-11-30 11:16:00,36.0
2020-11-30 11:18:00,33.0
2020-11-30 11:19:00,29.0
2020-11-30 11:20:00,30.0
2020-11-30 11:21:00,39.0
2020-11-30 11:22:00,-1.0
2020-11-30 11:23:00,-1.0
2020-11-30 11:24:00,-1.0
2020-11-30 11:25:00,-1.0
2020-11-30 11:26:00,50.0
2020-11-30 11:27:00,32.0
2020-11-30 11:28:00,22.0
2020-11-30 11:29:00,-1.0
2020-11-30 11:30:00,28.0
2020-11-30 11:31:00,34.0
2020-11-30 11:32:00,33.0
2020-11-30 11:33:00,37.0
2020-11-30 11:34:00,42.0
2020-11-30 11:35:00,31.0
2020-11-30 11:36:00,33.0
2020-11-30 11:37:00,40.0
2020-11-30 11:38:00,25.0
2020-11-30 11:39:00,21.0
2020-11-30 11:40:00,-1.0
2020-11-30 11:41:00,-1.0
2020-11-30 11:42:00,26.0
2020-11-30 11:43:00,23.0
2020-11-30 11:44:00,24.0
2020-11-30 11:45:00,-1.0
2020-11-30 11:46:00,-1.0
2020-11-30 11:47:00,48.0
2020-11-30 11:48:00,32.0
2020-11-30 11:49:00,30.0
2020-11-30 11:50:00,23.0
2020-11-30 11:51:00,-1.0
2020-11-30 11:53:00,-1.0
2020-11-30 11:54:00,-1.0
2020-11-30 11:55:00,-1.0
